Species,Data_source,Predictor,Distributional_range,Model_score
Emberiza hortulana,standardized,climate-based,IV,0.94
Emberiza hortulana,standardized,combination,IV,0.92
Emberiza hortulana,standardized,habitat-based,IV,0.89
Emberiza schoeniclus,standardized,climate-based,II,0.92
Emberiza schoeniclus,standardized,combination,II,0.91
Emberiza schoeniclus,standardized,habitat-based,II,0.86
Erithacus rubecula,standardized,climate-based,IV,0.92
Erithacus rubecula,standardized,combination,IV,0.9
Erithacus rubecula,standardized,habitat-based,IV,0.9
Falco naumanni,standardized,climate-based,IV,0.89
Falco naumanni,standardized,combination,IV,0.9
Falco naumanni,standardized,habitat-based,IV,0.87
Falco peregrinus,standardized,climate-based,IV,0.86
Falco peregrinus,standardized,combination,IV,0.87
Falco peregrinus,standardized,habitat-based,IV,0.74
Falco subbuteo,standardized,climate-based,IV,0.85
Falco subbuteo,standardized,combination,IV,0.85
Falco subbuteo,standardized,habitat-based,IV,0.82
Falco tinnunculus,standardized,climate-based,IV,0.84
Falco tinnunculus,standardized,combination,IV,0.82
Falco tinnunculus,standardized,habitat-based,IV,0.84
Ficedula hypoleuca,standardized,climate-based,III,0.87
Ficedula hypoleuca,standardized,combination,III,0.86
Ficedula hypoleuca,standardized,habitat-based,III,0.83
Fringilla coelebs,standardized,climate-based,IV,0.89
Fringilla coelebs,standardized,combination,IV,0.87
Fringilla coelebs,standardized,habitat-based,IV,0.84
Fulica atra,standardized,climate-based,IV,0.86
Fulica atra,standardized,combination,IV,0.86
Fulica atra,standardized,habitat-based,IV,0.77
Fulica cristata,standardized,climate-based,I,0.98
Fulica cristata,standardized,combination,I,0.97
Fulica cristata,standardized,habitat-based,I,0.95
Galerida cristata,standardized,climate-based,IV,0.92
Galerida cristata,standardized,combination,IV,0.91
Galerida cristata,standardized,habitat-based,IV,0.9
Galerida theklae,standardized,climate-based,IV,0.89
Galerida theklae,standardized,combination,IV,0.88
Galerida theklae,standardized,habitat-based,IV,0.85
Gallinago gallinago,standardized,climate-based,I,0.93
Gallinago gallinago,standardized,combination,I,0.91
Gallinago gallinago,standardized,habitat-based,I,0.86
Gallinula chloropus,standardized,climate-based,IV,0.85
Gallinula chloropus,standardized,combination,IV,0.85
Gallinula chloropus,standardized,habitat-based,IV,0.79
Garrulus glandarius,standardized,climate-based,IV,0.9
Garrulus glandarius,standardized,combination,IV,0.89
Garrulus glandarius,standardized,habitat-based,IV,0.88
Glareola pratincola,standardized,climate-based,II,0.95
Glareola pratincola,standardized,combination,II,0.95
Glareola pratincola,standardized,habitat-based,II,0.91
Gypaetus barbatus,standardized,climate-based,I,1
Gypaetus barbatus,standardized,combination,I,0.99
Gypaetus barbatus,standardized,habitat-based,I,0.95
Gyps fulvus,standardized,climate-based,IV,0.87
Gyps fulvus,standardized,combination,IV,0.87
Gyps fulvus,standardized,habitat-based,IV,0.94
Haematopus ostralegus,standardized,climate-based,I,1
Haematopus ostralegus,standardized,combination,I,1
Haematopus ostralegus,standardized,habitat-based,I,1
Hieraaetus pennatus,standardized,climate-based,IV,0.86
Hieraaetus pennatus,standardized,combination,IV,0.86
Hieraaetus pennatus,standardized,habitat-based,IV,0.92
Himantopus himantopus,standardized,climate-based,IV,0.88
Himantopus himantopus,standardized,combination,IV,0.86
Himantopus himantopus,standardized,habitat-based,IV,0.84
Hippolais polyglotta,standardized,climate-based,IV,0.85
Hippolais polyglotta,standardized,combination,IV,0.89
Hippolais polyglotta,standardized,habitat-based,IV,0.85
Hirundo rustica,standardized,climate-based,IV,0.89
Hirundo rustica,standardized,combination,IV,0.89
Hirundo rustica,standardized,habitat-based,IV,0.97
Hydrobates pelagicus,standardized,climate-based,I,1
Hydrobates pelagicus,standardized,combination,I,1
Hydrobates pelagicus,standardized,habitat-based,I,1
Iduna opaca,standardized,climate-based,I,1
Iduna opaca,standardized,combination,I,0.99
Iduna opaca,standardized,habitat-based,I,0.94
Ixobrychus minutus,standardized,climate-based,II,0.86
Ixobrychus minutus,standardized,combination,II,0.86
Ixobrychus minutus,standardized,habitat-based,II,0.76
Jynx torquilla,standardized,climate-based,IV,0.85
Jynx torquilla,standardized,combination,IV,0.85
Jynx torquilla,standardized,habitat-based,IV,0.83
Lanius collurio,standardized,climate-based,IV,0.98
Lanius collurio,standardized,combination,IV,0.97
Lanius collurio,standardized,habitat-based,IV,0.96
Lanius senator,standardized,climate-based,IV,0.91
Lanius senator,standardized,combination,IV,0.91
Lanius senator,standardized,habitat-based,IV,0.89
Larus fuscus,standardized,climate-based,II,0.96
Larus fuscus,standardized,combination,II,0.95
Larus fuscus,standardized,habitat-based,II,0.87
Larus michahellis,standardized,climate-based,III,0.92
Larus michahellis,standardized,combination,III,0.9
Larus michahellis,standardized,habitat-based,III,0.88
Leiopicus medius,standardized,climate-based,I,0.99
Leiopicus medius,standardized,combination,I,0.99
Leiopicus medius,standardized,habitat-based,I,0.98
Linaria cannabina,standardized,climate-based,IV,0.87
Linaria cannabina,standardized,combination,IV,0.98
Linaria cannabina,standardized,habitat-based,IV,0.86
Locustella luscinioides,standardized,climate-based,II,0.94
Locustella luscinioides,standardized,combination,II,0.9
Locustella luscinioides,standardized,habitat-based,II,0.85
Locustella naevia,standardized,climate-based,I,0.98
Locustella naevia,standardized,combination,I,0.98
Locustella naevia,standardized,habitat-based,I,0.95
Lophophanes cristatus,standardized,climate-based,IV,0.87
Lophophanes cristatus,standardized,combination,IV,0.88
Lophophanes cristatus,standardized,habitat-based,IV,0.86
Loxia curvirostra,standardized,climate-based,IV,0.89
Loxia curvirostra,standardized,combination,IV,0.88
Loxia curvirostra,standardized,habitat-based,IV,0.85
Lullula arborea,standardized,climate-based,IV,0.86
Lullula arborea,standardized,combination,IV,0.86
Lullula arborea,standardized,habitat-based,IV,0.84
Luscinia megarhynchos,standardized,climate-based,IV,0.89
Luscinia megarhynchos,standardized,combination,IV,0.89
Luscinia megarhynchos,standardized,habitat-based,IV,0.86
Luscinia svecica,standardized,climate-based,II,0.97
Luscinia svecica,standardized,combination,II,0.95
